"cout";"distanceTotale";"nbcentres"
68274.9341834642;47843.6677293303;10
68274.9341834642;47843.6677293303;10
68274.9341834642;47843.6677293303;10
68095.6883839884;47619.6104799855;10
68095.6883839884;47619.6104799855;10
68095.6883839884;47619.6104799855;10
68151.7896146601;47689.7370183252;10
68151.7896146601;47689.7370183252;10
68151.7896146601;47689.7370183252;10
68151.7896146601;47689.7370183252;10
68151.7896146601;47689.7370183252;10
68151.7896146601;47689.7370183252;10
68151.7896146601;47689.7370183252;10
68151.7896146601;47689.7370183252;10
68151.7896146601;47689.7370183252;10
68151.7896146601;47689.7370183252;10
68146.1441409928;47682.680176241;10
68150.2686478976;47687.835809872;10
68150.2686478976;47687.835809872;10
68150.2686478976;47687.835809872;10
68150.2686478976;47687.835809872;10
68150.2686478976;47687.835809872;10
68146.1441409928;47682.680176241;10
68146.1441409928;47682.680176241;10
68146.1441409928;47682.680176241;10
68146.1441409928;47682.680176241;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68108.9638349017;47636.2047936271;10
68104.7861405296;47630.9826756621;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
